CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011040207,ESPECIAL,Vulnerabilidad media-baja,2,47
11,BOGOTA,11001,BOGOTA,1100110000000011040208,ESPECIAL,Vulnerabilidad baja,1,33
11,BOGOTA,11001,BOGOTA,1100110000000011040209,ESPECIAL,Vulnerabilidad baja,1,25
11,BOGOTA,11001,BOGOTA,1100110000000011040210,ESPECIAL,Vulnerabilidad baja,1,36
11,BOGOTA,11001,BOGOTA,1100110000000011040211,ESPECIAL,Vulnerabilidad baja,1,50
11,BOGOTA,11001,BOGOTA,1100110000000011040212,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040214,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040215,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011040216,ESPECIAL,Vulnerabilidad media-baja,2,24
11,BOGOTA,11001,BOGOTA,1100110000000011040220,ESPECIAL,Vulnerabilidad media-baja,2,0
11,BOGOTA,11001,BOGOTA,1100110000000011040301,ESPECIAL,Vulnerabilidad baja,1,25
11,BOGOTA,11001,BOGOTA,1100110000000011040302,ESPECIAL,Vulnerabilidad baja,1,21
11,BOGOTA,11001,BOGOTA,1100110000000011040303,ESPECIAL,Vulnerabilidad baja,1,32
11,BOGOTA,11001,BOGOTA,1100110000000011040305,ESPECIAL,Vulnerabilidad media-baja,2,21
11,BOGOTA,11001,BOGOTA,1100110000000011040306,ESPECIAL,Vulnerabilidad media-baja,2,16
11,BOGOTA,11001,BOGOTA,1100110000000011040307,ESPECIAL,Vulnerabilidad baja,1,52
